time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
3573,3.532986,0.0812,start,5,24,3,5,2,1
3574,3.58941,0.0812,start,5,25,3,5,2,1
3575,3.645833,0.0957,start,5,26,3,5,2,1
3576,3.680556,0.087,start,5,27,3,5,2,1
3577,3.728299,0.0725,start,5,28,3,5,2,1
3578,3.75,0.0609,start,5,29,3,5,2,1
3579,3.75,0.058,start,5,30,3,5,2,1
3580,3.75434,0.0464,start,5,31,3,5,2,1
3581,3.771702,0.0464,start,5,32,3,5,2,1
3582,3.771702,0.029,start,5,33,3,5,2,1
3583,3.810764,0.0667,start,5,34,3,5,2,1
3584,3.797743,0.0435,start,5,35,3,5,2,1
3585,3.823785,0.0435,start,5,36,3,5,2,1
3586,3.819445,0.0522,start,5,37,3,5,2,1
3587,3.815104,0.0435,start,5,38,3,5,2,1
3588,3.832465,0.0377,start,5,39,3,5,2,1
3589,3.815104,0.0464,start,5,40,3,5,2,1
3590,3.802083,0.0174,start,5,41,3,5,2,1
3591,3.806424,0.0464,start,5,42,3,5,2,1
3592,3.806424,0.0435,start,5,43,3,5,2,1
3593,3.810764,0.0319,start,5,44,3,5,2,1
3594,3.819445,0.0406,start,5,45,3,5,2,1
3595,3.849827,0.058,start,5,46,3,5,2,1
3596,3.862847,0.0609,start,5,47,3,5,2,1
3597,3.880208,0.058,start,5,48,3,5,2,1
3598,3.888889,0.058,start,5,49,3,5,2,1
3599,3.888889,0.0406,start,5,50,3,5,2,1
4217,4.188368,-0.116,stop,6,1,3,6,2,1
4218,4.075521,-0.1189,stop,6,2,3,6,2,1
4219,3.958333,-0.116,stop,6,3,3,6,2,1
4220,3.832465,-0.116,stop,6,4,3,6,2,1
4221,3.706597,-0.1247,stop,6,5,3,6,2,1
4222,3.58941,-0.1131,stop,6,6,3,6,2,1
4223,3.459202,-0.1189,stop,6,7,3,6,2,1
4224,3.333333,-0.1189,stop,6,8,3,6,2,1
4225,3.194445,-0.1189,stop,6,9,3,6,2,1
4226,3.094618,-0.1073,stop,6,10,3,6,2,1
4227,2.981771,-0.1015,stop,6,11,3,6,2,1
4228,2.864583,-0.0899,stop,6,12,3,6,2,1
4229,2.769097,-0.0812,stop,6,13,3,6,2,1
4230,2.677952,-0.0841,stop,6,14,3,6,2,1
4231,2.569445,-0.087,stop,6,15,3,6,2,1
4232,2.469618,-0.087,stop,6,16,3,6,2,1
4233,2.387153,-0.0841,stop,6,17,3,6,2,1
4234,2.287327,-0.087,stop,6,18,3,6,2,1
4235,2.200521,-0.0754,stop,6,19,3,6,2,1
4236,2.131077,-0.0522,stop,6,20,3,6,2,1
4237,2.052952,-0.0551,stop,6,21,3,6,2,1
4238,1.992188,-0.0551,stop,6,22,3,6,2,1
4239,1.935764,-0.0551,stop,6,23,3,6,2,1
4240,1.87066,-0.0551,stop,6,24,3,6,2,1
4241,1.801215,-0.0638,stop,6,25,3,6,2,1
4242,1.740451,-0.0638,stop,6,26,3,6,2,1
4243,1.666667,-0.0609,stop,6,27,3,6,2,1
4244,1.601563,-0.0638,stop,6,28,3,6,2,1
4245,1.536458,-0.0638,stop,6,29,3,6,2,1
