System.Time_Stamp,vtti.timestamp,FOT_Control.Speed,Head_Unit.Longitude,Head_Unit.Latitude,Head_Unit.MSL_Altitude,IMU.Gyro_X,IMU.Gyro_Y,IMU.Gyro_Z,IMU.Accel_X,IMU.Accel_Y,IMU.Accel_Z
194,20999,0, , , ,-0.650391,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
195,21100,0, , , ,0,0,-0.325195,0.0029,-0.0087,-0.9918
196,21199, , , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
197,21300,0, , , ,0,0,-0.325195,0.0029,-0.0087,-0.9918
198,21400,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
199,21500,0, , , , , , ,0.0029,-0.0058,-0.9889
200,21599,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
201,21700,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0087,-0.9918
202,21799, ,121.501518,31.286934,141,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
203,21900,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
204,21999,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
205,22100,0, , , ,0,0,-0.325195,0.0058,-0.0087,-0.9918
206,22199,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0058,-0.9918
207,22300,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
208,22400,0, , , ,0,-0.325195,0,0.0029,-0.0058,-0.9889
209,22500,0, , , , , , ,0.0029,-0.0087,-0.9918
210,22599,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9918
211,22700,0, , , ,0,0,0,0.0029,-0.0058,-0.9889
212,22799,0,121.501572,31.28698,141,0,0,0,0.0029,-0.0058,-0.9889
213,22900,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9918
214,22999,0, , , ,-0.325195,-0.325195,-0.650391,0.0029,-0.0058,-0.9918
215,23100,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
216,23199,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
217,23300,0, , , ,-0.650391,0,0,0.0029,-0.0058,-0.9918
218,23400,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
219,23500,0, , , , , , ,0.0029,-0.0058,-0.9889
220,23599,0, , , ,-0.325195,0,-0.650391,0.0029,-0.0087,-0.9889
221,23700,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
222,23799,0,121.501625,31.287001,141,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
223,23900,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
224,23999,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
225,24100,0, , , ,0.650391,0,-0.325195,0.0029,-0.0058,-0.9889
226,24200,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
227,24299,0, , , ,0,0,0,0.0029,-0.0058,-0.9918
228,24400,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.986
229,24500,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
230,24600,0, , , , , , ,0.0058,-0.0058,-0.9947
231,24699,0, , , ,-0.325195,0,-0.650391,0.0029,-0.0058,-0.9889
232,24800,0,121.501678,31.28702,141,-0.650391,-0.325195,0,0.0029,-0.0058,-0.9889
233,24899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
234,25000,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
235,25099,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
236,25200,0, , , ,-0.325195,-0.325195,-0.650391,0.0029,-0.0058,-0.9889
237,25299,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
238,25400,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9918
239,25500,0, , , ,-0.325195,-0.650391,-0.325195,0.0029,-0.0058,-0.9889
240,25600,0, , , , , , ,0.0029,-0.0058,-0.9889
241,25699,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
242,25800,0,121.501762,31.286993,141,-0.325195,0,0,0.0058,-0.0058,-0.9889
243,25899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
244,26000,0, , , ,-0.325195,-0.650391,-0.325195,0.0029,-0.0058,-0.9918
245,26099,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
246,26200,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
247,26299,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
248,26400,0, , , ,0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
249,26500,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9918
250,26600,0, , , , , , ,0.0029,-0.0058,-0.9918
251,26699,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
252,26800,0,121.501816,31.286974,141,-0.325195,0,0,0.0029,-0.0058,-0.9889
253,26899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
254,27000,0, , , ,-0.325195,-0.325195,-0.325195,0.0058,-0.0058,-0.9918
255,27099,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
256,27200,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
257,27299,0, , , ,-0.650391,-0.325195,0,0.0029,-0.0058,-0.9918
258,27400,0, , , ,0.325195,0,0,0.0029,-0.0087,-0.9918
259,27500,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
260,27600,0, , , , , , ,0.0029,-0.0058,-0.9889
261,27699,0, , , ,-0.325195,0,-0.325195,0.0058,-0.0058,-0.9918
262,27800,0,121.501877,31.28693,141,-0.325195,0,0,0.0029,-0.0058,-0.9918
263,27899,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
264,28000,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0058,-0.9889
265,28099,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
266,28200,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
267,28299,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
268,28400,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
269,28500,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
270,28600,0, , , , , , ,0.0029,-0.0058,-0.9918
271,28699,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
272,28800,0,121.501892,31.286961,141,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
273,28899,0, , , ,-0.325195,0,-0.325195,0.0058,-0.0058,-0.9918
274,29000,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
275,29099,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
276,29200,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
277,29299,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9918
278,29400,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
279,29500,0, , , ,0,0,0,0.0029,-0.0058,-0.9889
280,29600,0, , , , , , ,0.0029,-0.0058,-0.9918
281,29699,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
282,29800,0,121.501907,31.28694,141,-0.325195,0,0,0.0029,-0.0058,-0.9918
283,29899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
284,30000,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
285,30099,0, , , ,0,0,-0.325195,0.0058,-0.0058,-0.9918
286,30200,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
287,30299,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
288,30400,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
289,30500,0, , , ,0,0,-0.325195,0.0058,-0.0087,-0.9918
290,30600,0, , , , , , ,0.0029,-0.0058,-0.9889
291,30699,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
292,30800,0,121.501923,31.286934,141,-0.650391,-0.325195,-0.325195,0.0029,-0.0058,-0.9947
293,30899,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0058,-0.9918
294,31000,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
295,31099,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
296,31200,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
297,31299,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
298,31400,0, , , ,-0.650391,0,0,0.0029,-0.0058,-0.9889
299,31500,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
300,31600,0, , , , , , ,0.0029,-0.0058,-0.9889
301,31699,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0058,-0.9918
302,31800,0,121.501923,31.286926,141,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
303,31899,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
304,32000,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
305,32099,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9947
306,32200,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
307,32299,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
308,32400,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
309,32500,0, , , ,-0.650391,0,0,0.0058,-0.0087,-0.9918
310,32600,0, , , , , , ,0.0029,-0.0058,-0.9918
311,32699,0, , , ,0,0,0,0.0029,-0.0058,-0.9889
312,32800,0,121.50193,31.286943,141,0,-0.325195,0,0.0029,-0.0058,-0.9918
313,32899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
314,33000,0, , , ,-0.325195,0,0,0.0058,-0.0087,-0.9918
315,33099,0, , , ,0,0,0,0.0029,-0.0058,-0.9889
316,33200,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
317,33299,0, , , ,-0.325195,-0.325195,-0.325195,0.0058,-0.0087,-0.9947
318,33400,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
319,33500,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
320,33600,0, , , , , , ,0.0058,-0.0058,-0.9918
321,33699,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
322,33800,0,121.501961,31.286947,141,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
323,33899,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
324,34000,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
325,34100,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
326,34200,0, , , ,0,0,0,0.0029,-0.0058,-0.9918
327,34299,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
328,34400,0, , , ,-0.325195,0,-0.650391,0.0029,-0.0087,-0.9918
329,34500,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9918
330,34600,0, , , , , , ,0.0058,-0.0087,-0.9918
331,34699,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0058,-0.9889
332,34800,0,121.501961,31.286936,141,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
333,34899,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
334,35000,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0058,-0.9918
335,35099,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9918
